# Basic macro run statistics:,,,,,,,,,,,,,,,,,,,
# Date and time: 2023-08-14 18:09:28,,,,,,,,,,,,,,,,,,,
# Macro version: 13,,,,,,,,,,,,,,,,,,,
# Channel: 1,,,,,,,,,,,,,,,,,,,
# Cell (ROI) size interval: 5-Infinity um^2,,,,,,,,,,,,,,,,,,,
# Coefficient of variance threshold: 0,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
exp_code,BR_date,strain,medium,time,condition,frame,mean_background,cell_no,patch_density(find_maxima),patch_density(analyze_particles),area_fraction(patch_vs_ROI),length,length_SD,width,width_SD,size,size_SD,mean_patch_intensity,mean_patch_intensity_SD
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,1,4.7978,4.5071,28.9978,0.3531,0.1321,0.2194,0.0577,0.06434,0.03489,6483.6701,3070.0774
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,2,4.6712,4.7685,25.4323,0.3157,0.09502,0.2065,0.04649,0.05333,0.02513,7197.9429,3531.1942
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,3,3.8551,4.2505,21.5627,0.3114,0.09253,0.1996,0.04469,0.05073,0.02379,5717.7541,3819.6968
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,4,4.3686,3.5365,20.3314,0.3293,0.09881,0.2163,0.04336,0.05749,0.02377,7114.3433,3723.6339
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,5,3.9353,3.7038,16.2411,0.2794,0.06553,0.1954,0.04539,0.04385,0.0167,4820.6094,2623.5951
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,6,4.7665,4.9737,30.2857,0.3484,0.1137,0.2134,0.04594,0.06089,0.03184,6686.4766,3482.4514
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,7,4.9952,4.7097,27.8968,0.3295,0.09572,0.2189,0.05577,0.05923,0.03096,6061.2944,2942.2435
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,8,4.5911,4.7346,26.989,0.3281,0.109,0.2117,0.04828,0.057,0.02866,7886.4047,3377.9911
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,9,4.6687,4.5314,28.3551,0.347,0.09525,0.2181,0.06161,0.06257,0.03273,6006.4855,2936.0603
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,10,4.214,4.0307,18.8324,0.2917,0.0569,0.1991,0.0397,0.04672,0.01608,3560.1606,2243.5999
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,11,5.5233,3.9452,17.4053,0.2917,0.05926,0.1879,0.03732,0.04412,0.01649,8601.7424,3681.8056
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,12,3.7693,3.5337,17.1418,0.2987,0.0801,0.2025,0.03972,0.04851,0.01778,4653.6497,2883.5612
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,13,5.2239,4.837,24.7777,0.311,0.09037,0.2022,0.04812,0.05123,0.02344,6909.948,3019.0976
230811_k,230623,Y1492,SMDGE,24h,control,1,452.3485,14,4.7758,5.3728,30.0869,0.3177,0.07533,0.2168,0.05124,0.056,0.02466,5741.2285,2799.7524
